row_idx,AUC_P_Cell_death,AUC_P_Hepatocyte_injury,AUC_P_Inflammation
386,27404.03752075162,24263.353584311495,25178.01805044049
387,27404.037520526792,24263.353494861592,29293.197860701122
388,27404.037520345606,24263.35349256522,29293.197860702254
389,27404.03752052162,28625.559650592528,29293.197860922337
390,27404.03752052162,28625.559650592528,29293.19786092236
392,27404.037520338956,28625.55965058315,29293.197860918393
391,27404.03752063861,28625.55965059312,29293.1978609567
394,27404.037519997077,28565.516293579807,29293.197861512283
393,27404.037519838945,28625.559649722152,29293.197860934913
395,27258.962567636445,28556.747875704692,29160.765481452705
396,27258.962567636445,28556.747875704692,29160.765481452705
397,27258.96256820782,28556.74787593544,29160.765481044305
398,27258.962568438972,28556.747870316958,29160.765481539023
399,27256.741434417934,28556.01237847394,29160.765481098922
400,27256.741434699987,28537.11193849213,29160.76547939615
401,27256.74143456544,28537.111938491733,29160.765479403253
402,27256.741434469703,28537.111938366892,29160.76547939694
403,27256.741433963543,28597.13333603567,29160.765480633872
404,27256.741433972777,28603.199177487826,29160.765480963317
406,27255.221739965065,27967.127380263948,29160.76547920706
405,27256.7414344055,27967.137857509442,29160.765479236492
408,27253.054643204916,27965.9771800752,29160.765478097772
407,27255.22174002462,27967.127387138727,29160.765479186048
409,27248.683013026082,27964.329254350374,29160.765477977016
410,27248.683011136276,28037.960508624725,29160.765478569436
414,28808.612458481264,28415.267142759116,29548.83011275326
412,27248.68301350819,28037.960508841876,29204.81414123837
411,27248.683013508155,28037.96050884184,29204.81414125845
413,28832.457760806064,28417.86610304929,29577.1493251067
417,25741.405581993575,28413.88063267952,29548.830112778145
415,25741.405579051094,28413.880640358468,29548.830112942804
418,25741.405559623534,28413.88063267948,29548.830112766864
416,25741.405568924994,28413.88064203746,29548.83011294127
419,25741.40555378348,28282.457349928634,29548.83011309241
422,25640.139637581207,28518.221332253073,29548.83011323283
420,25640.139645345687,28241.526159493318,29548.830113413875
421,25640.13963320548,28241.5261594935,29548.830113390068
424,25640.139642508464,28121.380800913204,29548.830113276486
425,25640.139638309254,28073.402252920943,29548.830112824482
423,25640.13963924188,28121.380800913183,29548.830113268312
426,25640.139631354345,14596.28956884443,29548.830112796888
429,25738.005034352544,24329.46120610445,29562.88227546565
428,25738.005066935395,14601.179786301083,29562.882275788106
427,25640.139527810134,14596.289467077737,29548.830113101674
430,25508.067261006632,24329.43857123001,29562.88227581719
